post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47708340,Amazon upsets eBook lovers by ending support for old Kindle devices,entertainment,6,0,devonnull,2026-04-10 10:03:03,0.0,False
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,465,199,MattHart88,2026-04-10 10:03:03,0.4270386266094421,True
47707158,DIY MacBook Neo upgrade can boost the SSD to 1TB using iPhone parts,entertainment,8,1,alwillis,2026-04-10 10:03:19,0.1111111111111111,False
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,100,17,Sean-Der,2026-04-10 10:03:26,0.16831683168316833,False
47691174,Show HN: Explore the Silk Roads through an interactive map,entertainment,47,6,intofarlands,2026-04-10 10:03:28,0.125,False
47693407,Show HN: 500k+ events/sec transformations for ClickHouse ingestion,entertainment,13,3,super_ar,2026-04-10 10:03:45,0.21428571428571427,False
47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",entertainment,247,204,Zm44,2026-04-10 10:03:47,0.8225806451612904,True
47697679,I built a tool to let you export your X bookmarks and categorize them,entertainment,16,8,xarchive,2026-04-10 10:03:53,0.47058823529411764,False
47676044,Show HN: Finalrun – Spec-driven testing using English and vision for mobile apps,entertainment,28,12,ashish004,2026-04-10 10:03:56,0.41379310344827586,False
47660853,Book review: There Is No Antimemetics Division,entertainment,279,226,ibobev,2026-04-10 10:04:00,0.8071428571428572,True
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,entertainment,66,12,4RH1T3CT0R,2026-04-10 10:04:04,0.1791044776119403,False
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,321,202,nevernothing,2026-04-10 10:04:05,0.6273291925465838,True
47705383,CDC delays publishing report showing Covid vaccine benefits,entertainment,20,2,ceejayoz,2026-04-10 10:04:10,0.09523809523809523,False
47711561,"Automatic U.S. military draft registration planned by December, filing shows",entertainment,8,5,MilnerRoute,2026-04-10 10:04:21,0.5555555555555556,False
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,100,28,mohshomis,2026-04-10 10:04:24,0.27722772277227725,False
